120:[10, 42, 16]
121:[13, 37, 8, 40]
122:[10, 5, 32, 37]
123:[14, 2, 20, 5]
124:[49, 9, 19, 29]
125:[18, 47, 21, 40]
126:[23, 6, 7, 3]
127:[48, 6, 39, 22]
128:[38, 18]
129:[16, 4, 23]
130:[47, 2, 46, 17]
131:[21, 47]
132:[43, 5, 4, 32]
133:[14, 8, 22, 13]
134:[6, 3]
135:[47, 4, 6, 10]
136:[38, 12, 1, 10]
137:[6, 14, 5, 20]
138:[34, 0, 29, 26]
139:[4, 20, 7, 23]
140:[27, 29, 1, 49]
141:[35, 25, 29, 38]
142:[41, 14, 48, 35]
143:[6, 44, 2, 25]
144:[35, 7, 1, 15]
145:[21, 13, 37, 30]
146:[46, 11, 36, 7]
147:[2, 6, 36, 33]
148:[15, 17, 48, 18]
149:[10, 4, 13, 46]
150:[0, 4, 15, 18]
151:[25, 4, 11, 9]
152:[14, 24, 8]
153:[30, 10, 42, 40]
154:[43, 22, 35, 4]
155:[45, 27, 9, 38]
156:[17, 9, 11, 37]
157:[14, 24, 46, 43]
158:[40, 47, 21, 45]
159:[30, 26, 31, 23]
160:[32, 15, 19, 11]
161:[19, 23, 2, 30]
162:[15, 27, 45, 16]
163:[1, 25, 34, 7]
164:[7, 47, 1, 15]
165:[33, 32, 14, 48]
166:[8, 20, 4, 46]
167:[23, 9, 15, 24]
168:[2, 18, 0, 1]
169:[37, 0, 16, 45]
170:[29, 12, 45, 11]
171:[14, 4, 13, 15]
172:[26, 44, 34, 25]
173:[27, 11, 31, 26]
174:[19, 49, 43, 11]
175:[42, 10, 6, 0]
176:[34, 41, 13]
177:[16, 4, 0, 18]
178:[24, 25, 44, 10]
179:[13, 14, 44, 40]
180:[5, 11, 13, 42]
181:[35, 0, 16, 40]
182:[45, 0, 29, 40]
183:[4, 27, 9, 19]
184:[27, 12, 25, 39]
185:[9, 0, 29, 46]
186:[26, 13, 37, 39]
187:[16, 33, 43, 49]
188:[28, 25, 44, 14]
189:[34, 21, 47, 35]
190:[18, 42, 4, 33]
191:[19, 12, 0, 36]
192:[48, 7, 28, 30]
193:[1, 9, 35, 22]
194:[28, 17, 31, 42]
195:[43, 47, 32, 12]
196:[37, 14, 5, 3]
197:[40, 0, 21, 36]
198:[45, 22, 26, 17]
199:[42, 22, 26]
